CODE,PROJECT,SLOT_SIZE,TOP,SHA256,LAYOUT,VISIBILITY,PROJECT_DETAILS,REPOSITORY
0000,ICELab Test Chip,1x0p5,chip_top,f52343dd6e84186e533604ab47f826f42947ab033246037d7341224896830878,0000/chip_top.oas,Public,"In this project, we include various floating-gate and non-floating gate standard cells for characterization. 
These include: 
3 Various charge pumps,
4x2 array of indirectly programmed floating gates,
2 transconductance amplifiers,
1 floating gate characterization cell,
NFET & PFET characterization cells",https://github.com/GTIceLab/ASHES-GF180nm
AMM1,raybox-zero wafer.space run 2 half height,1x0p5,chip_top,9fd12a480a5a546316cd773c73d38bf3dab0793bb342bcfeea1900322d284390,AMM1/chip_top.oas,Public,"LibreLane digital project implementing Anton Maurovic's (algofoogle's) raybox-zero ""3D"" ray caster demo with SPI interface for ""game like"" control by a host PC or MCU, optional texture-map QSPI ROM interface, and Tiny VGA compatible digital RGB222 VGA output.",https://github.com/algofoogle/gf180ws2-raybox-zero
AS04,AS04 Multi-Project die using 3.3V SCL,1x1,chip_top,3601f75953aab1b4d93dd772bf08884288c2d5a4be77bb4c48d4bf1fdc12e29e,AS04/chip_top.oas,Public,"Contains:
- 6502/6510/PLA replicas
- SID replicas
- rv32ima_zicsr_smnmi core
- Retro DRAM controller
- GPIO chip
- NTSC Test signal generator
- FM Synth
- Digital-to-Analog converters
- Two layouts generated using [FeatherLane](https://codeberg.org/TholinVali/FeatherLane)",https://github.com/AvalonSemiconductors/ws-submission-2026/
AS16,AS16 CPU,1x0p5,chip_top,33a51ba1b2b71d98cd2cbce75cd175785286e4ce0b6dc879cdee6097f04dc87c,AS16/chip_top.oas,Public,"A 16-bit RISC CPU designed by a Y10 student in Sydney Technical High School. (""my first ever tapeout"")",http://github.com/SUD0NET/as16
BTX1,BTX,1x1,chip_top,3e931e0d0dd561d9f03c93f55e4569af7c24a2ef58ad529d0a9bad68b6d6e4e0,BTX1/chip_top.oas,Public,Path-tracing accelerator chip,
CAB1,Cabrera CoB,1x0p5,chip_top,460b282397547267aa506faf6412606701b345035b3da17b319bb20dd03dcd3f,CAB1/chip_top.oas,Public,,https://github.com/ZeduloTech/Cabrera
CAFE,Expresso Ethernet Chip: 100Mbps Ethernet switch + Heat death of the Universe Beacon - 0.5x0.5 version - Preferred version,0p5x0p5,chip_top,ad79e563dbae4aa31f51885d41fd0500bd2a635538c428eb3529aa88416b4d86,CAFE/chip_top.oas,Public,"This chip is an open source Ethernet focused ASIC featuring both an 4 port, 100Mbps capable cut-through, unmanaged, Ethernet switch and an Ethernet connected beacon, broadcasting an ethernet frame every second with an uptime count until the heat death of the universe. 


Both designs have been validated on an FPGA. 

This is the default 0.5x0.5 slot size for this project and is also the version that has been the most worked on.",https://github.com/Essenceia/Expresso_ASIC_Chip
CLON,Cloneless2,1x1,chip_top,2da360b642e4d12e66b8192ebf8c352b862adbf15e5d9f07b0c767337637b9e3,CLON/chip_top.oas,Public,Cloneless2 is the second tapeout in the Cloneless series of tamper-resistant open-source ASICs.,https://github.com/ThorbenMoos/Cloneless2
DCO0,Standard Cell DCO+TDC,1x0p5,chip_top,1e4c9dc80cc2654fb05401c688a7705944aa0ab0614b1f8ea93ff101a5f83be8,DCO0/chip_top.oas,Public,A tiny Digital Controlled Oscillator + Time-to-Digital Converter comprised entirely in gf180 standard cells,https://github.com/asinghani/ws-dco-tdc
DPK1,bio180,0p5x1,chip_top,c72c96af396a8b064d44aac847653ed1db127b163275ab539d66e591b8b09c2d,DPK1/chip_top.oas,Public,Dual Core BIO: The Bao I/O Co-processor from baochip-1x with 4Kb of SRAM on gf180 with SPI host.,https://github.com/dpks2003/bio-core
DPK2,cordic-romless-x8,0p5x0p5,chip_top,cb0ae7f6006b7527866a82eb317ce5ff258bfbb24b3e5a7e11e1a2d8690b7817,DPK2/chip_top.oas,Public,"8 ROM-less CORDIC engines , each with its owe SPI-slave interface.  Each core implements a  CORDIC which work on a 16-bit signed fixed-point input Q3.16 (1 sign bit, 3 integer bits, and 12 fraction bits). This engine utilizes SPI-slave interface to receive four 16-bit signed fixed-point inputs (atan₀, alpha, x, y) and returns three 16-bit signed fixed-point outputs (alpha, cosθ, sinθ).  With the arctan micro-rotation angles generated on the fly by Taylor-series approximation , no coefficient ROM required.

AFASIK :  Its the only ROM-Less Implementation for CORDIC Algorithm",https://github.com/dpks2003/cordic-romless
EURO,EuroSynth,1x0p5,chip_top,2e0ca16366580a2513c158cb5e7c41d12c16734575deef3f73d085b5b52e0b7c,EURO/chip_top.oas,Public,A kitchen-sink synthesizer voice in custom silicon — a fully digital eurorack synth voice taped out on the open-source GlobalFoundries 180 nm (GF180MCU) PDK with the LibreLane RTL-to-GDSII flow.,https://github.com/anfroholic/eurosynth
FC01,Flip Chip pad test version 1,0p5x0p5,TOP,c86059407e89f9fcb4137a675fea252d3a97a222b6d438960018e57723909cfb,FC01/TOP.oas,Public,Just some test pads for flip chip bonding trials,
FS01,Test chip with 3.3V SRAM blocks using regular design rules,0p5x1,chip_top,9ee645dd97da642648e8f30741a1bb4fb014dc59d2f506672090505cfdade38e,FS01/chip_top.oas,Public,,https://gitlab.com/Chips4Makers/arrakeen-sram-testchip
FS02,Test chip with 3.3V SRAM blocks using SRAM design rules,0p5x1,chip_top,a62348078ac96641c039f5d07e0df17426d4dd4b7a8673f655516a57131cf220,FS02/chip_top.oas,Public,,https://gitlab.com/Chips4Makers/arrakeen-sram-testchip
FS03,Test chip with 5V SRAM blocks,0p5x1,chip_top,a7c6de35936dc60a4421b19d24b6c6f15274b03d7f30508ea9e19683d64b6d9d,FS03/chip_top.oas,Public,,https://gitlab.com/Chips4Makers/arrakeen-sram-testchip
GD04,Racquet Wide 1x0.5,1x0p5,chip_top,3fa8774ab2004a50c5778f76bfc98010231bee17ec938de6f81c6006bcab28c6,GD04/chip_top.oas,Public,"A Configuration of racquet, a multicore Serv based SoC
 - 9t 5v0 standard cells
 - Difetto to incorporate DFT scan chain into design
 - 6 cores",https://github.com/gregdavill/gf180mcu-racquet-1x0.5
HZ80,FOSSi open-source replacement for Z80 classic 8-bit CPU (0.5 x 1 slot),0p5x1,chip_top,95ae5a1998b7e18c28819513726907e2d0e339ca14aad72050f87b343f49cdca,HZ80/chip_top.oas,Public,"Silicon proven, pin compatible, open-source replacement for Zilog Z80 a classic 8-bit CPU.
https://github.com/rejunity/z80-open-silicon",https://github.com/rejunity/ws0-z80-open-silicon-gf180mcu
